327,"COOP",10252,"AL","BARBOUR|RUSSELL","ANDALUSIA 3 W",31.3,-86.52,76.2
329,"COOP",15749,"AL","CONECUH","MUSCLE SHOALS REGIONAL AP",34.73,-87.58,164.59
331,"COOP",12758,"AL","FAYETTE","EVERGREEN",31.43,-86.95,88.39
333,"COOP",17020,"AL","ETOWAH|ST. CLAIR","ROCKFORD 3 ESE",32.87,-86.17,182.88
335,"COOP",13816,"AL","GREENE","HIGHLAND HOME",31.87,-86.25,131.98
337,"COOP",17157,"AL","HALE","SAINT BERNARD",34.17,-86.8,243.84
339,"COOP",13761,"AL","BUTLER","HEADLAND",31.35,-85.33,112.78
341,"COOP",17366,"AL","WINSTON","SELMA",32.4,-87,44.81
343,"COOP",18469,"AL","MARION","VALLEY HEAD",34.57,-85.6,323.7
345,"COOP",11084,"AL","DALE|HENRY|HOUSTON","BREWTON 3 SSE",31.05,-87.05,25.91
347,"COOP",13154,"AL","CLAY|CLEBURNE","GADSDEN",34.02,-85.98,172.21
349,"COOP",12883,"AL","CRENSHAW","FAYETTE",33.68,-87.82,111.25
351,"COOP",17131,"AL","MADISON|MORGAN","RUSSELLVILLE NO 2",34.5,-87.72,252.98
353,"COOP",13160,"AL","WALKER","GAINESVILLE LOCK",32.83,-88.13,38.1
355,"COOP",13511,"AL","CHAMBERS|ELMORE","GREENSBORO",32.7,-87.57,67.06
357,"COOP",17304,"AL","SUMTER","SCOTTSBORO",34.67,-86.05,187.45
359,"COOP",10831,"AL","PERRY","BIRMINGHAM MUNICIPAL AP",33.55,-86.73,187.45
361,"COOP",18517,"AL","MOBILE","VERNON 2 N",33.73,-88.12,90.83
363,"COOP",10655,"AL","LOWNDES|MACON|MONTGOMERY","BELLE MINA 2 N",34.68,-86.87,182.88
365,"COOP",15635,"AL","LAWRENCE","MOULTON 2",34.48,-87.28,189.59
367,"COOP",16129,"AL","COLBERT","OPELIKA",32.65,-85.43,195.07
369,"COOP",15550,"AL","BLOUNT","MONTGOMERY DANNELLY FIELD",32.28,-86.4,61.57
371,"COOP",14064,"AL","LEE","HUNTSVILLE INTL/JONES FIELD",34.63,-86.78,190.19
373,"COOP",13645,"AL","COOSA","HAMILTON 3 S",34.08,-87.98,132.59
375,"COOP",17207,"AL","RANDOLPH","SAND MT SUBSTATION",34.28,-85.97,362.71
377,"COOP",15478,"AL","FRANKLIN","MOBILE REGIONAL AP",30.68,-88.23,65.53
379,"COOP",10402,"AL","CULLMAN","ATMORE STATE NURSERY",31.17,-87.43,91.44
381,"COOP",15121,"AL","MARSHALL","MARION JUNCTION 2 NE",32.47,-87.22,60.96
383,"COOP",17025,"AL","JACKSON","ROCK MILLS",33.15,-85.28,228.6
385,"COOP",18209,"AL","DALLAS","THORSBY",32.92,-86.67,207.26
387,"COOP",14798,"AL","TALLADEGA","LIVINGSTON",32.57,-88.18,39.01
389,"COOP",18024,"AL","CLARKE","TALLADEGA",33.4,-86.13,136.55
391,"COOP",10160,"AL","SHELBY","ALEXANDER CITY",32.93,-85.93,195.07
393,"COOP",10505,"AL","BIBB","BANKHEAD LOCK AND DAM",33.45,-87.35,85.34
395,"COOP",14226,"AL","BULLOCK|PIKE","JASPER",33.9,-87.3,148.13
397,"COOP",11566,"AL","DE KALB","CHATOM",31.47,-88.25,86.87
399,"COOP",18867,"AL","LAMAR|PICKENS","WHATLEY",31.65,-87.7,51.82
401,"COOP",13620,"AL","WILCOX","HALEYVILLE",34.22,-87.63,280.42
403,"COOP",83326,"FL","FRANKLIN","GAINESVILLE REGIONAL AP",29.68,-82.27,37.49
405,"COOP",83470,"FL","DE SOTO","GLEN ST MARY 1 W",30.27,-82.18,39.01
407,"COOP",81544,"FL","HIGHLANDS","CHIPLEY 3 E",30.78,-85.48,39.62
409,"COOP",85612,"FL","POLK","MELBOURNE REGIONAL AP",28.08,-80.62,3.05
411,"COOP",83163,"FL","HERNANDO","FORT LAUDERDALE",26.1,-80.2,4.88
413,"COOP",89566,"FL","SUMTER","WEWAHITCHKA",30.12,-85.2,12.8
415,"COOP",87397,"FL","PALM BEACH","PUNTA GORDA 4 ESE",26.9,-81.98,6.1
417,"COOP",84289,"FL","BAY|JACKSON|WASHINGTON","INVERNESS 3 SE",28.8,-82.3,12.19
419,"COOP",82915,"FL","LAKE","FEDERAL POINT",29.75,-81.53,1.52
421,"COOP",86078,"FL","FLAGLER","NAPLES",26.17,-81.7,1.52
423,"COOP",84731,"FL","OKALOOSA|SANTA ROSA","LAKE CITY 2 E",30.18,-82.58,59.44
425,"COOP",83909,"FL","DIXIE","HIALEAH",25.82,-80.28,3.66
427,"COOP",80228,"FL","HOLMES|WALTON","ARCADIA",27.22,-81.87,9.14
429,"COOP",82008,"FL","VOLUSIA","CROSS CITY 2 WNW",29.63,-83.1,12.8
431,"COOP",84358,"FL","HENDRY","JACKSONVILLE INTL ARPT",30.48,-81.68,7.92
433,"COOP",86997,"FL","MONROE","PENSACOLA REGIONAL AP",30.47,-87.18,34.14
435,"COOP",81978,"FL","CLAY|PUTNAM|ST. JOHNS","CRESCENT CITY",29.42,-81.5,16.15
437,"COOP",80211,"FL","NASSAU","APALACHICOLA MUNI AP",29.72,-85.02,6.1
439,"COOP",87429,"FL","BROWARD","QUINCY 3 SSW",30.53,-84.58,74.68
441,"COOP",83956,"FL","LEE","HIGH SPRINGS",29.82,-82.58,19.81
443,"COOP",85895,"FL","ST. LUCIE","MOORE HAVEN LOCK 1",26.83,-81.08,10.67
445,"COOP",84394,"FL","ALACHUA","JASPER",30.52,-82.93,44.81
447,"COOP",89401,"FL","BAKER|BRADFORD|UNION","WAUCHULA",27.53,-81.78,18.29
449,"COOP",82298,"FL","DADE","DEVILS GARDEN",26.6,-81.12,6.1
451,"COOP",81046,"FL","GILCHRIST","BROOKSVILLE CHIN HILL",28.6,-82.35,73.15
453,"COOP",80369,"FL","CITRUS","AVON PARK 2 W",27.58,-81.52,46.94
455,"COOP",87205,"FL","DUVAL","PLANT CITY",28.02,-82.13,36.58
